,currency,event,impact,previous_value,forecast_value,actual_value
3441,USD,FOMC Member Clarida Speaks,Low Impact Expected,,,
3442,GBP,BOE Gov Bailey Speaks,High Impact Expected,,,
3443,USD,Crude Oil Inventories,Medium Impact Expected,-8.0M,-2.1M,-0.4M
3444,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
3445,USD,10-y Bond Auction,Medium Impact Expected,1.68|2.4,,1.68|2.5
3446,USD,Federal Budget Balance,Low Impact Expected,-659.6B,-212.5B,-225.6B
3447,JPY,Leading Indicators,Low Impact Expected,98.7%,102.8%,103.2%
3448,EUR,German Final CPI m/m,Low Impact Expected,0.7%,0.7%,0.7%
3449,GBP,Prelim GDP q/q,Medium Impact Expected,1.3%,-1.6%,-1.5%
3450,GBP,Construction Output m/m,Low Impact Expected,2.3%,1.1%,5.8%
3451,GBP,GDP m/m,Low Impact Expected,0.7%,1.5%,2.1%
3452,GBP,Goods Trade Balance,Low Impact Expected,-10.5B,-14.2B,-11.7B
3453,GBP,Index of Services 3m/3m,Low Impact Expected,-2.1%,-1.7%,-2.0%
3454,GBP,Industrial Production m/m,Low Impact Expected,1.0%,1.0%,1.8%
3455,GBP,Manufacturing Production m/m,Low Impact Expected,1.5%,1.0%,2.1%
3456,GBP,Prelim Business Investment q/q,Low Impact Expected,5.9%,-2.5%,-11.9%
3457,EUR,French Final CPI m/m,Low Impact Expected,0.2%,0.2%,0.1%
3458,CNY,M2 Money Supply y/y,Low Impact Expected,9.4%,9.2%,8.1%
3459,CNY,New Loans,Low Impact Expected,2730B,1575B,1470B
3460,EUR,EU Economic Forecasts,Medium Impact Expected,,,
3461,EUR,Industrial Production m/m,Low Impact Expected,-1.2%,0.8%,0.1%
3462,USD,Core CPI m/m,High Impact Expected,0.3%,0.3%,0.9%
3463,USD,CPI m/m,High Impact Expected,0.6%,0.2%,0.8%
3464,USD,CPI y/y,High Impact Expected,2.6%,3.6%,4.2%
3465,GBP,NIESR GDP Estimate,Low Impact Expected,-1.5%,,1.3%
3466,USD,FOMC Member Clarida Speaks,Low Impact Expected,,,
3467,GBP,BOE Gov Bailey Speaks,High Impact Expected,,,
3468,USD,Crude Oil Inventories,Medium Impact Expected,-8.0M,-2.1M,-0.4M
3469,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
3470,USD,10-y Bond Auction,Medium Impact Expected,1.68|2.4,,1.68|2.5
3471,USD,Federal Budget Balance,Low Impact Expected,-659.6B,-212.5B,-225.6B
3472,NZD,FPI m/m,Low Impact Expected,0.0%,,1.1%
3473,GBP,RICS House Price Balance,Low Impact Expected,62%,62%,75%
3474,JPY,Bank Lending y/y,Low Impact Expected,6.2%,6.3%,4.8%
3475,JPY,Current Account,Low Impact Expected,1.84T,1.87T,1.70T
3476,JPY,30-y Bond Auction,Low Impact Expected,0.69|3.1,,0.65|3.1
3477,JPY,Economy Watchers Sentiment,Low Impact Expected,49.0,47.1,39.1
3478,CHF,Bank Holiday,Non-Economic,,,
3479,EUR,French Bank Holiday,Non-Economic,,,
3480,EUR,German Bank Holiday,Non-Economic,,,
3481,CNY,Foreign Direct Investment ytd/y,Low Impact Expected,39.9%,,38.6%
3482,GBP,MPC Member Cunliffe Speaks,Low Impact Expected,,,
3483,USD,Unemployment Claims,Medium Impact Expected,507K,487K,473K
3484,USD,Core PPI m/m,Low Impact Expected,0.7%,0.4%,0.7%
3485,USD,PPI m/m,Low Impact Expected,1.0%,0.3%,0.6%
3486,USD,FOMC Member Barkin Speaks,Low Impact Expected,,,
3487,USD,Natural Gas Storage,Low Impact Expected,60B,74B,71B
3488,CAD,BOC Gov Macklem Speaks,High Impact Expected,,,
3489,GBP,BOE Gov Bailey Speaks,Medium Impact Expected,,,
3490,USD,FOMC Member Waller Speaks,Low Impact Expected,,,
3491,USD,30-y Bond Auction,Medium Impact Expected,2.32|2.5,,2.40|2.2
3492,NZD,FPI m/m,Low Impact Expected,0.0%,,1.1%
3493,GBP,RICS House Price Balance,Low Impact Expected,62%,62%,75%
3494,JPY,Bank Lending y/y,Low Impact Expected,6.2%,6.3%,4.8%
3495,JPY,Current Account,Low Impact Expected,1.84T,1.87T,1.70T
3496,JPY,30-y Bond Auction,Low Impact Expected,0.69|3.1,,0.65|3.1
3497,JPY,Economy Watchers Sentiment,Low Impact Expected,49.0,47.1,39.1
3498,CHF,Bank Holiday,Non-Economic,,,
3499,EUR,French Bank Holiday,Non-Economic,,,
3500,EUR,German Bank Holiday,Non-Economic,,,
3501,CNY,Foreign Direct Investment ytd/y,Low Impact Expected,39.9%,,38.6%
3502,GBP,MPC Member Cunliffe Speaks,Low Impact Expected,,,
3503,USD,Unemployment Claims,Medium Impact Expected,507K,487K,473K
3504,USD,Core PPI m/m,Low Impact Expected,0.7%,0.4%,0.7%
3505,USD,PPI m/m,Low Impact Expected,1.0%,0.3%,0.6%
3506,USD,FOMC Member Barkin Speaks,Low Impact Expected,,,
3507,USD,Natural Gas Storage,Low Impact Expected,60B,74B,71B
3508,CAD,BOC Gov Macklem Speaks,High Impact Expected,,,
3509,GBP,BOE Gov Bailey Speaks,Medium Impact Expected,,,
3510,USD,FOMC Member Waller Speaks,Low Impact Expected,,,
3511,USD,30-y Bond Auction,Medium Impact Expected,2.32|2.5,,2.40|2.2
3512,NZD,BusinessNZ Manufacturing Index,Low Impact Expected,63.6,,58.4
3513,JPY,M2 Money Stock y/y,Low Impact Expected,9.4%,9.4%,9.2%
3514,EUR,ECB Monetary Policy Meeting Accounts,Low Impact Expected,,,
3515,CAD,Manufacturing Sales m/m,Low Impact Expected,-1.1%,3.5%,3.5%
3516,CAD,Wholesale Sales m/m,Low Impact Expected,-0.9%,1.0%,2.8%
3517,USD,Retail Sales m/m,High Impact Expected,10.7%,1.0%,0.0%
3518,USD,Import Prices m/m,Low Impact Expected,1.4%,0.6%,0.7%
3519,USD,Core Retail Sales m/m,High Impact Expected,9.0%,0.5%,-0.8%
3520,USD,Industrial Production m/m,Medium Impact Expected,2.4%,0.9%,0.7%
3521,USD,Capacity Utilization Rate,Low Impact Expected,74.4%,75.0%,74.9%
3522,GBP,CB Leading Index m/m,Low Impact Expected,-0.4%,,0.1%
3523,USD,Prelim UoM Consumer Sentiment,Medium Impact Expected,88.3,90.2,82.8
3524,USD,Business Inventories m/m,Low Impact Expected,0.6%,0.3%,0.3%
3525,USD,Prelim UoM Inflation Expectations,Low Impact Expected,3.4%,,4.6%
3526,NZD,BusinessNZ Manufacturing Index,Low Impact Expected,63.6,,58.4
3527,JPY,M2 Money Stock y/y,Low Impact Expected,9.4%,9.4%,9.2%
3528,EUR,ECB Monetary Policy Meeting Accounts,Low Impact Expected,,,
3529,CAD,Manufacturing Sales m/m,Low Impact Expected,-1.1%,3.5%,3.5%
3530,CAD,Wholesale Sales m/m,Low Impact Expected,-0.9%,1.0%,2.8%
3531,USD,Retail Sales m/m,High Impact Expected,10.7%,1.0%,0.0%
3532,USD,Import Prices m/m,Low Impact Expected,1.4%,0.6%,0.7%
3533,USD,Core Retail Sales m/m,High Impact Expected,9.0%,0.5%,-0.8%
3534,USD,Industrial Production m/m,Medium Impact Expected,2.4%,0.9%,0.7%
3535,USD,Capacity Utilization Rate,Low Impact Expected,74.4%,75.0%,74.9%
3536,GBP,CB Leading Index m/m,Low Impact Expected,-0.4%,,0.1%
3537,USD,Prelim UoM Consumer Sentiment,Medium Impact Expected,88.3,90.2,82.8
3538,USD,Business Inventories m/m,Low Impact Expected,0.6%,0.3%,0.3%
3539,USD,Prelim UoM Inflation Expectations,Low Impact Expected,3.4%,,4.6%
3540,NZD,BusinessNZ Services Index,Low Impact Expected,52.9,,61.2
3541,NZD,Visitor Arrivals m/m,Low Impact Expected,-2.8%,,-12.4%
3542,GBP,Rightmove HPI m/m,Low Impact Expected,2.1%,,1.8%
3543,JPY,PPI y/y,Low Impact Expected,1.2%,3.1%,3.6%
3544,CNY,New Home Prices m/m,Low Impact Expected,0.41%,,0.48%
3545,CNY,Fixed Asset Investment ytd/y,Low Impact Expected,25.6%,19.9%,19.9%
3546,CNY,Industrial Production y/y,Low Impact Expected,14.1%,10.0%,9.8%
3547,CNY,Retail Sales y/y,Low Impact Expected,34.2%,25.0%,17.7%
3548,CNY,Unemployment Rate,Low Impact Expected,5.3%,5.2%,5.1%
3549,JPY,Prelim Machine Tool Orders y/y,Low Impact Expected,65.1%,,120.8%
3550,CHF,PPI m/m,Low Impact Expected,0.6%,0.2%,0.7%
3551,CAD,Housing Starts,Low Impact Expected,335K,305K,269K
3552,CAD,Foreign Securities Purchases,Low Impact Expected,8.56B,3.25B,3.25B
3553,USD,Empire State Manufacturing Index,Low Impact Expected,26.3,23.9,24.3
3554,USD,NAHB Housing Market Index,Low Impact Expected,83,83,83
3555,USD,FOMC Member Clarida Speaks,Low Impact Expected,,,
3556,GBP,MPC Member Tenreyro Speaks,Low Impact Expected,,,
3557,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
3558,USD,FOMC Member Clarida Speaks,Low Impact Expected,,,
3559,GBP,MPC Member Vlieghe Speaks,Low Impact Expected,,,
3560,GBP,MPC Member Haldane Speaks,Low Impact Expected,,,
3561,USD,TIC Long-Term Purchases,Low Impact Expected,4.3B,67.0B,262.2B
3562,NZD,BusinessNZ Services Index,Low Impact Expected,52.9,,61.2
3563,NZD,Visitor Arrivals m/m,Low Impact Expected,-2.8%,,-12.4%
3564,GBP,Rightmove HPI m/m,Low Impact Expected,2.1%,,1.8%
3565,JPY,PPI y/y,Low Impact Expected,1.2%,3.1%,3.6%
3566,CNY,New Home Prices m/m,Low Impact Expected,0.41%,,0.48%
3567,CNY,Fixed Asset Investment ytd/y,Low Impact Expected,25.6%,19.9%,19.9%
3568,CNY,Industrial Production y/y,Low Impact Expected,14.1%,10.0%,9.8%
3569,CNY,Retail Sales y/y,Low Impact Expected,34.2%,25.0%,17.7%
3570,CNY,Unemployment Rate,Low Impact Expected,5.3%,5.2%,5.1%
3571,JPY,Prelim Machine Tool Orders y/y,Low Impact Expected,65.1%,,120.8%
3572,CHF,PPI m/m,Low Impact Expected,0.6%,0.2%,0.7%
3573,CAD,Housing Starts,Low Impact Expected,335K,305K,269K
3574,CAD,Foreign Securities Purchases,Low Impact Expected,8.56B,3.25B,3.25B
3575,USD,Empire State Manufacturing Index,Low Impact Expected,26.3,23.9,24.3
3576,USD,NAHB Housing Market Index,Low Impact Expected,83,83,83
3577,USD,FOMC Member Clarida Speaks,Low Impact Expected,,,
3578,GBP,MPC Member Tenreyro Speaks,Low Impact Expected,,,
3579,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
3580,USD,FOMC Member Clarida Speaks,Low Impact Expected,,,
3581,GBP,MPC Member Vlieghe Speaks,Low Impact Expected,,,
3582,GBP,MPC Member Haldane Speaks,Low Impact Expected,,,
3583,USD,TIC Long-Term Purchases,Low Impact Expected,4.3B,67.0B,262.2B
3584,JPY,Prelim GDP Price Index y/y,Low Impact Expected,0.3%,-0.1%,-0.2%
3585,JPY,Prelim GDP q/q,Low Impact Expected,2.8%,-1.1%,-1.3%
3586,AUD,Monetary Policy Meeting Minutes,Medium Impact Expected,,,
3587,JPY,Tertiary Industry Activity m/m,Low Impact Expected,-0.3%,0.8%,1.1%
3588,GBP,Average Earnings Index 3m/y,Low Impact Expected,4.5%,4.5%,4.0%
3589,GBP,Claimant Count Change,Low Impact Expected,-19.4K,25.6K,-15.1K
3590,GBP,Unemployment Rate,Low Impact Expected,4.9%,4.9%,4.8%
3591,EUR,Italian Trade Balance,Low Impact Expected,4.75B,4.40B,5.19B
3592,EUR,Flash Employment Change q/q,Low Impact Expected,0.4%,0.1%,-0.3%
3593,EUR,Flash GDP q/q,Low Impact Expected,-0.6%,-0.6%,-0.6%
3594,EUR,Trade Balance,Low Impact Expected,23.1B,20.3B,13.0B
3595,USD,Building Permits,Low Impact Expected,1.76M,1.77M,1.76M
3596,USD,Housing Starts,Low Impact Expected,1.73M,1.71M,1.57M
3597,GBP,BOE Gov Bailey Speaks,High Impact Expected,,,
3598,NZD,GDT Price Index,Low Impact Expected,-0.7%,,-0.2%
3599,AUD,CB Leading Index m/m,Low Impact Expected,0.5%,,1.0%
3600,CHF,SNB Chairman Jordan Speaks,Medium Impact Expected,,,
3601,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
3602,JPY,Prelim GDP Price Index y/y,Low Impact Expected,0.3%,-0.1%,-0.2%
3603,JPY,Prelim GDP q/q,Low Impact Expected,2.8%,-1.1%,-1.3%
3604,AUD,Monetary Policy Meeting Minutes,Medium Impact Expected,,,
3605,JPY,Tertiary Industry Activity m/m,Low Impact Expected,-0.3%,0.8%,1.1%
3606,GBP,Average Earnings Index 3m/y,Low Impact Expected,4.5%,4.5%,4.0%
3607,GBP,Claimant Count Change,Low Impact Expected,-19.4K,25.6K,-15.1K
3608,GBP,Unemployment Rate,Low Impact Expected,4.9%,4.9%,4.8%
3609,EUR,Italian Trade Balance,Low Impact Expected,4.75B,4.40B,5.19B
3610,EUR,Flash Employment Change q/q,Low Impact Expected,0.4%,0.1%,-0.3%
3611,EUR,Flash GDP q/q,Low Impact Expected,-0.6%,-0.6%,-0.6%
3612,EUR,Trade Balance,Low Impact Expected,23.1B,20.3B,13.0B
3613,USD,Building Permits,Low Impact Expected,1.76M,1.77M,1.76M
3614,USD,Housing Starts,Low Impact Expected,1.73M,1.71M,1.57M
3615,GBP,BOE Gov Bailey Speaks,High Impact Expected,,,
3616,NZD,GDT Price Index,Low Impact Expected,-0.7%,,-0.2%
3617,AUD,CB Leading Index m/m,Low Impact Expected,0.5%,,1.0%
3618,CHF,SNB Chairman Jordan Speaks,Medium Impact Expected,,,
3619,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
3620,NZD,PPI Input q/q,Low Impact Expected,0.1%,0.1%,2.1%
3621,NZD,PPI Output q/q,Low Impact Expected,0.5%,0.2%,1.2%
3622,AUD,Westpac Consumer Sentiment,Low Impact Expected,6.2%,,-4.8%
3623,AUD,Wage Price Index q/q,Low Impact Expected,0.6%,0.5%,0.6%
3624,JPY,Revised Industrial Production m/m,Low Impact Expected,2.2%,2.2%,1.7%
3625,GBP,CPI y/y,Medium Impact Expected,0.7%,1.5%,1.5%
3626,GBP,Core CPI y/y,Low Impact Expected,1.1%,1.3%,1.3%
3627,GBP,PPI Input m/m,Low Impact Expected,1.9%,1.0%,1.2%
3628,GBP,PPI Output m/m,Low Impact Expected,0.8%,0.4%,0.4%
3629,GBP,RPI y/y,Low Impact Expected,1.5%,2.4%,2.9%
3630,EUR,ECB Financial Stability Review,Medium Impact Expected,,,
3631,GBP,HPI y/y,Low Impact Expected,9.2%,7.6%,10.2%
3632,EUR,Final Core CPI y/y,Low Impact Expected,0.8%,0.8%,0.7%
3633,EUR,Final CPI y/y,Low Impact Expected,1.6%,1.6%,1.6%
3634,EUR,German 10-y Bond Auction,Low Impact Expected,-0.25|1.7,,-0.09|1.3
3635,CAD,CPI m/m,Medium Impact Expected,0.5%,0.2%,0.5%
3636,CAD,Common CPI y/y,Low Impact Expected,1.5%,1.7%,1.7%
3637,CAD,Median CPI y/y,Low Impact Expected,2.1%,2.1%,2.3%
3638,CAD,Trimmed CPI y/y,Low Impact Expected,2.1%,2.2%,2.3%
3639,CAD,Core CPI m/m,Low Impact Expected,0.3%,,0.5%
3640,USD,Crude Oil Inventories,Medium Impact Expected,-0.4M,1.5M,1.3M
3641,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
3642,USD,FOMC Meeting Minutes,Medium Impact Expected,,,
3643,NZD,PPI Input q/q,Low Impact Expected,0.1%,0.1%,2.1%
3644,NZD,PPI Output q/q,Low Impact Expected,0.5%,0.2%,1.2%
3645,AUD,Westpac Consumer Sentiment,Low Impact Expected,6.2%,,-4.8%
3646,AUD,Wage Price Index q/q,Low Impact Expected,0.6%,0.5%,0.6%
3647,JPY,Revised Industrial Production m/m,Low Impact Expected,2.2%,2.2%,1.7%
3648,GBP,CPI y/y,Medium Impact Expected,0.7%,1.5%,1.5%
3649,GBP,Core CPI y/y,Low Impact Expected,1.1%,1.3%,1.3%
3650,GBP,PPI Input m/m,Low Impact Expected,1.9%,1.0%,1.2%
3651,GBP,PPI Output m/m,Low Impact Expected,0.8%,0.4%,0.4%
3652,GBP,RPI y/y,Low Impact Expected,1.5%,2.4%,2.9%
3653,EUR,ECB Financial Stability Review,Medium Impact Expected,,,
3654,GBP,HPI y/y,Low Impact Expected,9.2%,7.6%,10.2%
3655,EUR,Final Core CPI y/y,Low Impact Expected,0.8%,0.8%,0.7%
3656,EUR,Final CPI y/y,Low Impact Expected,1.6%,1.6%,1.6%
3657,EUR,German 10-y Bond Auction,Low Impact Expected,-0.25|1.7,,-0.09|1.3
3658,CAD,CPI m/m,Medium Impact Expected,0.5%,0.2%,0.5%
3659,CAD,Common CPI y/y,Low Impact Expected,1.5%,1.7%,1.7%
3660,CAD,Median CPI y/y,Low Impact Expected,2.1%,2.1%,2.3%
3661,CAD,Trimmed CPI y/y,Low Impact Expected,2.1%,2.2%,2.3%
3662,CAD,Core CPI m/m,Low Impact Expected,0.3%,,0.5%
3663,USD,Crude Oil Inventories,Medium Impact Expected,-0.4M,1.5M,1.3M
3664,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
3665,USD,FOMC Meeting Minutes,Medium Impact Expected,,,
3666,JPY,Core Machinery Orders m/m,Low Impact Expected,-8.5%,5.1%,3.7%
3667,JPY,Trade Balance,Low Impact Expected,0.37T,0.07T,0.07T
3668,AUD,MI Inflation Expectations,Low Impact Expected,3.2%,,3.5%
3669,AUD,Employment Change,High Impact Expected,77.0K,17.5K,-30.6K
3670,AUD,Unemployment Rate,High Impact Expected,5.7%,5.6%,5.5%
3671,CNY,1-y Loan Prime Rate,Medium Impact Expected,3.85%,3.85%,3.85%
3672,CNY,5-y Loan Prime Rate,Medium Impact Expected,4.65%,4.65%,4.65%
3673,NZD,Annual Budget Release,Medium Impact Expected,,,
3674,EUR,German PPI m/m,Low Impact Expected,0.9%,0.8%,0.8%
3675,EUR,Current Account,Low Impact Expected,25.9B,24.3B,17.8B
3676,EUR,Spanish 10-y Bond Auction,Low Impact Expected,0.43|1.6,,0.60|1.8
3677,GBP,MPC Member Cunliffe Speaks,Low Impact Expected,,,
3678,GBP,CBI Industrial Order Expectations,Low Impact Expected,-8,0,17
3679,EUR,ECB President Lagarde Speaks,Low Impact Expected,,,
3680,CAD,NHPI m/m,Low Impact Expected,1.1%,1.2%,1.9%
3681,USD,Philly Fed Manufacturing Index,Medium Impact Expected,50.2,40.8,31.5
3682,USD,Unemployment Claims,Medium Impact Expected,478K,453K,444K
3683,CAD,ADP Non-Farm Employment Change,Low Impact Expected,266.7K,,351.3K
3684,CAD,BOC Financial System Review,Low Impact Expected,,,
3685,USD,CB Leading Index m/m,Low Impact Expected,1.3%,1.3%,1.6%
3686,USD,Natural Gas Storage,Low Impact Expected,71B,60B,71B
3687,CAD,BOC Gov Macklem Speaks,High Impact Expected,,,
3688,JPY,Core Machinery Orders m/m,Low Impact Expected,-8.5%,5.1%,3.7%
3689,JPY,Trade Balance,Low Impact Expected,0.37T,0.07T,0.07T
3690,AUD,MI Inflation Expectations,Low Impact Expected,3.2%,,3.5%
3691,AUD,Employment Change,High Impact Expected,77.0K,17.5K,-30.6K
3692,AUD,Unemployment Rate,High Impact Expected,5.7%,5.6%,5.5%
3693,CNY,1-y Loan Prime Rate,Medium Impact Expected,3.85%,3.85%,3.85%
3694,CNY,5-y Loan Prime Rate,Medium Impact Expected,4.65%,4.65%,4.65%
3695,NZD,Annual Budget Release,Medium Impact Expected,,,
3696,EUR,German PPI m/m,Low Impact Expected,0.9%,0.8%,0.8%
3697,EUR,Current Account,Low Impact Expected,25.9B,24.3B,17.8B
3698,EUR,Spanish 10-y Bond Auction,Low Impact Expected,0.43|1.6,,0.60|1.8
3699,GBP,MPC Member Cunliffe Speaks,Low Impact Expected,,,
3700,GBP,CBI Industrial Order Expectations,Low Impact Expected,-8,0,17
3701,EUR,ECB President Lagarde Speaks,Low Impact Expected,,,
3702,CAD,NHPI m/m,Low Impact Expected,1.1%,1.2%,1.9%
3703,USD,Philly Fed Manufacturing Index,Medium Impact Expected,50.2,40.8,31.5
3704,USD,Unemployment Claims,Medium Impact Expected,478K,453K,444K
3705,CAD,ADP Non-Farm Employment Change,Low Impact Expected,266.7K,,351.3K
3706,CAD,BOC Financial System Review,Low Impact Expected,,,
3707,USD,CB Leading Index m/m,Low Impact Expected,1.3%,1.3%,1.6%
3708,USD,Natural Gas Storage,Low Impact Expected,71B,60B,71B
3709,CAD,BOC Gov Macklem Speaks,High Impact Expected,,,
3710,AUD,Flash Manufacturing PMI,Low Impact Expected,59.7,,59.9
3711,AUD,Flash Services PMI,Low Impact Expected,58.8,,58.2
3712,GBP,GfK Consumer Confidence,Low Impact Expected,-15,-12,-9
3713,JPY,National Core CPI y/y,Low Impact Expected,-0.1%,-0.2%,-0.1%
3714,JPY,Flash Manufacturing PMI,Low Impact Expected,53.6,53.0,52.5
3715,AUD,Retail Sales m/m,Medium Impact Expected,1.3%,0.5%,1.1%
3716,NZD,Credit Card Spending y/y,Low Impact Expected,0.5%,,87.4%
3717,GBP,Retail Sales m/m,Medium Impact Expected,5.1%,4.5%,9.2%
3718,EUR,French Flash Manufacturing PMI,Medium Impact Expected,58.9,58.6,59.2
3719,EUR,French Flash Services PMI,Medium Impact Expected,50.3,53.0,56.6
3720,EUR,German Flash Manufacturing PMI,High Impact Expected,66.2,66.0,64.0
3721,EUR,German Flash Services PMI,High Impact Expected,49.9,52.0,52.8
3722,EUR,Flash Manufacturing PMI,Medium Impact Expected,62.9,62.5,62.8
3723,EUR,Flash Services PMI,Medium Impact Expected,50.5,52.5,55.1
3724,GBP,Flash Manufacturing PMI,Medium Impact Expected,60.9,60.7,66.1
3725,GBP,Flash Services PMI,Medium Impact Expected,61.0,62.2,61.8
3726,EUR,Eurogroup Meetings,Low Impact Expected,,,
3727,EUR,German Buba Monthly Report,Low Impact Expected,,,
3728,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
3729,CAD,Core Retail Sales m/m,Medium Impact Expected,5.6%,2.3%,4.3%
3730,CAD,Retail Sales m/m,Medium Impact Expected,5.8%,2.3%,3.6%
3731,EUR,Consumer Confidence,Low Impact Expected,-8,-7,-5
3732,CHF,Gov Board Member Maechler Speaks,Low Impact Expected,,,
3733,USD,Flash Manufacturing PMI,Medium Impact Expected,60.5,60.0,61.5
3734,USD,Flash Services PMI,Low Impact Expected,64.7,64.3,70.1
3735,USD,Existing Home Sales,Low Impact Expected,6.01M,6.09M,5.85M
3736,USD,FOMC Member Daly Speaks,Low Impact Expected,,,
3737,AUD,Flash Manufacturing PMI,Low Impact Expected,59.7,,59.9
3738,AUD,Flash Services PMI,Low Impact Expected,58.8,,58.2
3739,GBP,GfK Consumer Confidence,Low Impact Expected,-15,-12,-9
3740,JPY,National Core CPI y/y,Low Impact Expected,-0.1%,-0.2%,-0.1%
3741,JPY,Flash Manufacturing PMI,Low Impact Expected,53.6,53.0,52.5
3742,AUD,Retail Sales m/m,Medium Impact Expected,1.3%,0.5%,1.1%
3743,NZD,Credit Card Spending y/y,Low Impact Expected,0.5%,,87.4%
3744,GBP,Retail Sales m/m,Medium Impact Expected,5.1%,4.5%,9.2%
3745,EUR,French Flash Manufacturing PMI,Medium Impact Expected,58.9,58.6,59.2
3746,EUR,French Flash Services PMI,Medium Impact Expected,50.3,53.0,56.6
3747,EUR,German Flash Manufacturing PMI,High Impact Expected,66.2,66.0,64.0
3748,EUR,German Flash Services PMI,High Impact Expected,49.9,52.0,52.8
3749,EUR,Flash Manufacturing PMI,Medium Impact Expected,62.9,62.5,62.8
3750,EUR,Flash Services PMI,Medium Impact Expected,50.5,52.5,55.1
3751,GBP,Flash Manufacturing PMI,Medium Impact Expected,60.9,60.7,66.1
3752,GBP,Flash Services PMI,Medium Impact Expected,61.0,62.2,61.8
3753,EUR,Eurogroup Meetings,Low Impact Expected,,,
3754,EUR,German Buba Monthly Report,Low Impact Expected,,,
3755,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
3756,CAD,Core Retail Sales m/m,Medium Impact Expected,5.6%,2.3%,4.3%
3757,CAD,Retail Sales m/m,Medium Impact Expected,5.8%,2.3%,3.6%
3758,EUR,Consumer Confidence,Low Impact Expected,-8,-7,-5
3759,CHF,Gov Board Member Maechler Speaks,Low Impact Expected,,,
3760,USD,Flash Manufacturing PMI,Medium Impact Expected,60.5,60.0,61.5
3761,USD,Flash Services PMI,Low Impact Expected,64.7,64.3,70.1
3762,USD,Existing Home Sales,Low Impact Expected,6.01M,6.09M,5.85M
3763,USD,FOMC Member Daly Speaks,Low Impact Expected,,,
3764,EUR,ECOFIN Meetings,Low Impact Expected,,,
3765,EUR,ECOFIN Meetings,Low Impact Expected,,,
3766,NZD,Retail Sales q/q,Medium Impact Expected,-2.6%,-1.8%,2.5%
3767,NZD,Core Retail Sales q/q,Low Impact Expected,-2.9%,-1.0%,3.2%
3768,CHF,Bank Holiday,Non-Economic,,,
3769,EUR,French Bank Holiday,Non-Economic,,,
3770,EUR,German Bank Holiday,Non-Economic,,,
3771,JPY,BOJ Gov Kuroda Speaks,Medium Impact Expected,,,
3772,CAD,Bank Holiday,Non-Economic,,,
3773,CNY,CB Leading Index m/m,Low Impact Expected,0.9%,,1.2%
3774,USD,FOMC Member Brainard Speaks,Low Impact Expected,,,
3775,GBP,Monetary Policy Report Hearings,High Impact Expected,,,
3776,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
3777,NZD,Retail Sales q/q,Medium Impact Expected,-2.6%,-1.8%,2.5%
3778,NZD,Core Retail Sales q/q,Low Impact Expected,-2.9%,-1.0%,3.2%
3779,CHF,Bank Holiday,Non-Economic,,,
3780,EUR,French Bank Holiday,Non-Economic,,,
3781,EUR,German Bank Holiday,Non-Economic,,,
3782,JPY,BOJ Gov Kuroda Speaks,Medium Impact Expected,,,
3783,CAD,Bank Holiday,Non-Economic,,,
3784,CNY,CB Leading Index m/m,Low Impact Expected,0.9%,,1.2%
3785,USD,FOMC Member Brainard Speaks,Low Impact Expected,,,
